stationCode,station_id,postcode,city
16107,213688169,75016,Paris
31104,653222953,93110,Rosny-sous-Bois
44015,17278902806,94400,Vitry-sur-Seine
9020,36255,75009,Paris
12109,37815204,75012,Paris
14111,251039991,75014,Paris
14014,85002689,75014,Paris
32017,2515829865,93200,Saint-Denis
11104,516709288,75011,Paris
8026,120827885,75008,Paris
13007,66491398,75013,Paris
6003,37874517,75006,Paris
7002,210565680,75007,Paris
5110,210403080,75005,Paris
6108,210561800,75006,Paris
33006,209063434,93300,Aubervilliers
42016,94555589,94200,Ivry-sur-Seine
41301,244498842,94130,Nogent-sur-Marne
6021,210405211,75006,Paris
21010,43195240,92100,Boulogne-Billancourt
25006,501862076,92500,Rueil-Malmaison
30002,17486274358,93000,Bobigny
17038,207633746,75017,Paris
15202,16560752067,75015,Paris
7003,210566542,75007,Paris
17041,85043758,75017,Paris
17026,54000559,75017,Paris
5016,210397939,75005,Paris
11025,82405965,,
15047,213682736,75015,Paris
8050,128986726,75008,Paris
13101,54000581,75013,Paris
14108,13105968,75014,Paris
31024,653208733,93100,Montreuil
15026,27415224,75015,Paris
2022,54000536,75002,Paris
17044,129094535,75017,Paris
19033,54000612,75019,Paris
17025,80101533,75017,Paris
21326,17486876370,92130,Issy-les-Moulineaux
20143,599135701,75020,Paris
43002,102747146,94300,Vincennes
16138,2515403527,75116,Paris
21216,653132534,92120,Montrouge
15068,506455295,75015,Paris
22207,1057149522,92220,Bagneux
7004,210567545,75007,Paris
92002,653197324,92000,Nanterre
13030,2515085147,75013,Paris
19027,42950839,75019,Paris
31028,14813797734,93100,Montreuil
17048,88230992,75017,Paris
44017,499303158,94400,Vitry-sur-Seine
10013,123095125,75010,Paris
16118,27415302,75016,Paris
2017,27414512,75002,Paris
9008,210580039,75009,Paris
8103,49474389,75008,Paris
8048,128940135,75016,Paris
14013,35149611,75014,Paris
13118,1057296253,75013,Paris
15112,576188379,75015,Paris
18111,129107656,75018,Paris
9002,210574471,75009,Paris
48003,1057228658,94800,Villejuif
16110,230873471,75016,Paris
14002,205047993,75014,Paris
9014,39799329,75009,Paris
43009,129164969,94300,Vincennes
8053,128989986,75008,Paris
9001,129004826,75009,Paris
17032,518825709,75017,Paris
8016,128930462,75008,Paris
10162,911767210,75010,Paris
10115,54000565,75010,Paris
10029,210586093,75010,Paris
5005,7254,75005,Paris
10161,369644630,75010,Paris
41303,214114469,94130,Nogent-sur-Marne
12031,55927887,75012,Paris
7011,210570888,75007,Paris
7018,128887067,75007,Paris
5022,72765603,75005,Paris
9106,210582921,75009,Paris
21328,16659953198,92130,Issy-les-Moulineaux
21323,17486828694,92130,Issy-les-Moulineaux
8201,16659964929,75008,Paris
13104,35196898,75013,Paris
17040,43255030,75017,Paris
9038,129025451,75009,Paris
8009,128920403,75008,Paris
1001,323616530,75001,Paris
31103,1062192012,93110,Rosny-sous-Bois
17008,521393180,75017,Paris
6001,6296,75006,Paris
19105,208795867,75019,Paris
31706,82567101,93170,Bagnolet
22409,457813746,92240,Malakoff
5020,128882438,75005,Paris
19015,50191171,75019,Paris
9022,129014600,75009,Paris
26003,3906153622,92600,Asnières-sur-Seine
17004,129087587,75017,Paris
19003,213693511,75019,Paris
8036,82379648,75008,Paris
12151,66491397,75012,Paris
18107,230877798,75018,Paris
92007,2515995748,92000,Nanterre
16026,27363162,75016,Paris
9028,129021753,75009,Paris
10107,210740080,75010,Paris
26002,3906094706,92600,Asnières-sur-Seine
17043,80216231,75017,Paris
19026,336511521,75019,Paris
16039,82562556,75016,Paris
11023,129048000,75011,Paris
45003,1062250686,94500,Champigny-sur-Marne
11002,129043651,75011,Paris
12111,27363489,75012,Paris
8034,39296638,75008,Paris
11047,813544903,75011,Paris
19043,205938683,75019,Paris
5032,210399835,75005,Paris
20042,102324803,75020,Paris
15067,101763163,75015,Paris
43401,653133605,94340,Joinville-le-Pont
17030,126050442,75017,Paris
6006,27414578,75006,Paris
11027,54000569,75011,Paris
12128,508042092,75012,Paris
8010,42603855,75008,Paris
31022,818302209,93100,Montreuil
19101,13718041,75019,Paris
14003,265464297,75014,Paris
46002,1057392676,94600,Choisy-le-Roi
11113,532054446,75011,Paris
10016,129034587,75010,Paris
31009,261987383,93100,Montreuil
41302,314829539,94130,Nogent-sur-Marne
14020,1057324291,75014,Paris
5018,37815993,75005,Paris
33017,583539396,93300,Aubervilliers
15042,101753100,75015,Paris
20112,27415466,75020,Paris
18011,81081358,75018,Paris
43008,66491385,94300,Vincennes
33102,209057581,93310,Le Pré-Saint-Gervais
42706,3906335682,94270,Le Kremlin-Bicêtre
21212,586539770,92120,Montrouge
15104,535500589,75015,Paris
44006,597245295,94400,Vitry-sur-Seine
19120,235513935,75019,Paris
18003,102309973,75018,Paris
18031,27363187,75018,Paris
5004,27206194,75005,Paris
19103,102323152,75019,Paris
14138,828134511,75014,Paris
12114,129060764,75012,Paris
46003,586649404,94600,Choisy-le-Roi
41209,596813170,94120,Fontenay-sous-Bois
21312,596872103,92130,Issy-les-Moulineaux
10024,271426439,75010,Paris
13001,210749865,75013,Paris
8045,66491389,75008,Paris
18028,76199461,75018,Paris
42014,230952057,94200,Ivry-sur-Seine
8017,88140066,75008,Paris
15054,213683101,75015,Paris
15106,213684750,75015,Paris
14008,129067920,75014,Paris
5124,2515049357,75005,Paris
14106,27364743,75014,Paris
18046,102314792,75018,Paris
22406,35447568,92240,Malakoff
31102,583178525,93100,Montreuil
2111,2514995690,75002,Paris
18022,66491402,75018,Paris
8054,82387816,75008,Paris
15109,213685090,75015,Paris
21209,301841024,92120,Montrouge
14012,213679512,75014,Paris
21005,85147829,92100,Boulogne-Billancourt
35010,588452142,93500,Pantin
10042,129038848,75010,Paris
17203,17581042048,75017,Paris
14124,213681356,75014,Paris
15133,2515351285,75015,Paris
15110,213685514,75015,Paris
21006,102329800,92100,Boulogne-Billancourt
44013,572566600,94400,Vitry-sur-Seine
20131,54000625,75020,Paris
31008,213911772,93100,Montreuil
21015,129132870,92100,Boulogne-Billancourt
44003,620403530,94400,Vitry-sur-Seine
15034,66491378,75015,Paris
41404,631773910,94140,Alfortville
48010,1765749389,94800,Villejuif
22203,611152693,92220,Bagneux
41202,235241110,94120,Fontenay-sous-Bois
42021,613737748,94200,Ivry-sur-Seine
11030,41498023,75011,Paris
1119,1062671597,75001,Paris
31708,213945171,93170,Bagnolet
35020,463297497,93500,Pantin
5106,35908,75005,Paris
25003,213875650,92500,Rueil-Malmaison
20115,245187072,75020,Paris
31003,129144878,93100,Montreuil
22402,27415665,92240,Malakoff
9116,593238093,75009,Paris
21008,102331767,92100,Boulogne-Billancourt
11039,37791,75011,Paris
17013,50156117,75017,Paris
16008,15462236,75016,Paris
13050,101024234,75013,Paris
11026,210744286,75011,Paris
32604,213992316,93260,Les Lilas
19024,213694482,75019,Paris
41601,235599121,94160,Saint-Mandé
15021,101743895,75015,Paris
17105,213691848,75017,Paris
9010,129011497,75009,Paris
18009,54000601,75018,Paris
16038,213687140,75016,Paris
11105,97677210,75011,Paris
14110,213680917,75014,Paris
17125,1057774603,75017,Paris
16108,213688462,75016,Paris
43005,102749572,94300,Vincennes
16136,390212609,75016,Paris
19032,549876068,75019,Paris
19022,63498079,75019,Paris
21701,102338493,92170,Vanves
15103,213683992,75015,Paris
22003,27362896,92200,Neuilly-sur-Seine
11024,39254792,75011,Paris
20134,875078767,75020,Paris
24001,1558958733,92400,Courbevoie
22016,2515802454,92200,Neuilly-sur-Seine
14136,648227675,75014,Paris
32302,1062206433,93230,Romainville
10014,129032910,75010,Paris
13002,54000577,75013,Paris
11035,54001024,75011,Paris
42010,94250567,94200,Ivry-sur-Seine
15046,129078200,75015,Paris
46001,649888071,94600,Choisy-le-Roi
16040,82563707,75016,Paris
22006,129143598,92200,Neuilly-sur-Seine
17028,213690847,75017,Paris
21301,102333275,92130,Issy-les-Moulineaux
42302,640629438,94230,Cachan
19029,27363362,75019,Paris
9032,237624030,75009,Paris
19016,6399,75019,Paris
32003,213957917,93210,Saint-Denis
21104,54000626,92110,Clichy
11042,210746090,75011,Paris
9005,27414841,75009,Paris
8025,42566291,75008,Paris
1013,53999465,75001,Paris
7102,82253759,75007,Paris
20121,213702608,75020,Paris
19013,54000609,75019,Paris
5123,647826568,75005,Paris
1002,82328045,75001,Paris
42301,214134714,94230,Cachan
42504,214139374,94250,Gentilly
26013,17174681330,92600,Asnières-sur-Seine
20111,213700358,75020,Paris
42015,559507144,94200,Ivry-sur-Seine
32016,653063170,93200,Saint-Denis
15201,3906215030,75015,Paris
31010,129151834,93100,Montreuil
19008,213694069,75019,Paris
11004,55664548,75011,Paris
92008,653200142,92000,Nanterre
41402,650091839,94140,Alfortville
43003,362869414,94300,Vincennes
7005,100859941,75007,Paris
11036,49368561,75011,Paris
18012,42743053,75018,Paris
12009,49859500,75012,Paris
19125,213699913,75019,Paris
14036,101740379,75014,Paris
18201,4329844165,75018,Paris
8013,54000553,75008,Paris
9021,468843711,75009,Paris
23009,378626842,92300,Levallois-Perret
12027,27414945,75012,Paris
32303,376664868,93230,Romainville
42029,2515927759,94200,Ivry-sur-Seine
12115,27071684,75012,Paris
8035,205955605,75008,Paris
21313,933214552,92130,Issy-les-Moulineaux
17102,39217683,75017,Paris
28001,353462947,92800,Puteaux
26007,1559700274,92600,Asnières-sur-Seine
6013,66491370,75006,Paris
16111,213688824,75016,Paris
11007,210090269,75011,Paris
9101,36473,75009,Paris
7015,82337423,75007,Paris
15025,66491393,75015,Paris
35018,1062223873,93500,Pantin
18110,49085250,75018,Paris
19005,66491404,75019,Paris
10113,66491392,75010,Paris
41606,2515907297,94160,Saint-Mandé
17011,66491401,75017,Paris
17045,341388492,75017,Paris
43402,985828965,94340,Joinville-le-Pont
33018,338762459,93300,Aubervilliers
12013,323486248,75012,Paris
21305,38263504,92130,Issy-les-Moulineaux
11115,501318622,75011,Paris
14021,652120758,75014,Paris
5021,54000544,75005,Paris
8033,49403716,75008,Paris
16121,470807791,75016,Paris
5012,210396518,75005,Paris
23001,568135465,92300,Levallois-Perret
15010,82450803,75015,Paris
41102,214102967,94110,Arcueil
17037,54000597,75017,Paris
18141,2515658032,75018,Paris
19004,102319838,75019,Paris
16124,652192395,75016,Paris
33003,571923059,93300,Aubervilliers
33009,54000635,93300,Aubervilliers
7009,210568512,75007,Paris
14117,82445192,75014,Paris
25005,1062179194,92500,Rueil-Malmaison
22505,1063017616,92250,La Garenne-Colombes
13045,378648513,75013,Paris
19115,27278603,75019,Paris
14034,13497763,75014,Paris
32010,653042442,93210,Saint-Denis
16018,49807107,75016,Paris
12034,210747224,75012,Paris
20043,66491405,75020,Paris
15033,357409723,75015,Paris
25008,17992442278,92500,Rueil-Malmaison
19044,52393,75019,Paris
24002,570185777,92400,Courbevoie
12201,54000571,75012,Paris
33001,473204291,93300,Aubervilliers
16034,27363103,75016,Paris
20132,85145704,75020,Paris
11031_relais,950901146,75011,Paris
20119,26958435,75020,Paris
19019,6385,75019,Paris
42207,82550925,94220,Charenton-le-Pont
42707,85165045,94270,Le Kremlin-Bicêtre
20036,129119449,75020,Paris
92003,475524450,92000,Nanterre
5119,653048150,75005,Paris
35009,244400797,93500,Pantin
31705,213922790,93170,Bagnolet
8055,129001431,75008,Paris
27002,653203262,92700,Colombes
21109,406806401,92110,Clichy
23701,1063035479,92370,Chaville
17007,54000595,75017,Paris
21502,82571110,92150,Suresnes
14001,54000582,75014,Paris
31012,217235307,93100,Montreuil
12126,210748575,94220,Charenton-le-Pont
12024,82421994,75012,Paris
16129,129086648,75116,Paris
35019,217572769,93500,Pantin
14104,214298601,75014,Paris
20113,129125489,75020,Paris
20120,85143075,93170,Bagnolet
5114,653044270,75005,Paris
8012,215495494,75017,Paris
41604,214122655,93100,Montreuil
15017,82458977,75015,Paris
15029,129077035,75015,Paris
17018,15461933,75017,Paris
5116,653046029,75005,Paris
18005,216473073,75018,Paris
10005,37521,75010,Paris
92004,2515976231,92000,Nanterre
18020,129103849,75018,Paris
20136,1057009034,75020,Paris
5026,82334007,75005,Paris
43006,214146056,94300,Vincennes
5002,15308782,75005,Paris
15028,85008390,75015,Paris
8102,216039437,75008,Paris
14018,43155320,75014,Paris
31702,221047138,93170,Bagnolet
21013,129130397,92100,Boulogne-Billancourt
42503,653129412,94110,Arcueil
21111,419381597,92110,Clichy
7014,27414601,75007,Paris
7006,54000548,75007,Paris
2010,54000466,75002,Paris
11114,426772876,75011,Paris
20040,74620630,75020,Paris
17017,129091653,75017,Paris
10023,129036192,75010,Paris
21105,129134084,92110,Clichy
34002,11004671601,93400,Saint-Ouen-sur-Seine
13026,210754072,75013,Paris
23002,419991048,92300,Levallois-Perret
14139,2820744873,75014,Paris
13102,213676825,75013,Paris
11101,15299574,75011,Paris
15055,41566122,75015,Paris
14130,963786819,75014,Paris
10015,427678168,75010,Paris
41207,976762284,94120,Fontenay-sous-Bois
16006,213686196,75016,Paris
12011,82421013,75012,Paris
21308,434419150,92130,Issy-les-Moulineaux
21019,252339799,92100,Boulogne-Billancourt
6018,224589573,75006,Paris
12032,220502135,75012,Paris
19037,129114993,75020,Paris
20109,129124069,75020,Paris
6107,221094844,75006,Paris
6103,220726050,75006,Paris
15038,254224239,75015,Paris
21032,1805401614,92100,Boulogne-Billancourt
20021,85118872,75020,Paris
19109,129116697,75019,Paris
31019,977409509,93100,Montreuil
32014,653055049,93200,Saint-Denis
18032,221041655,75018,Paris
17124,1057769632,75018,Paris
44012,1333959209,94400,Vitry-sur-Seine
17027,213690256,75017,Paris
10165,476183970,75010,Paris
31016,632007124,93100,Montreuil
51003,977206088,95100,Argenteuil
22101,213868408,92210,Saint-Cloud
13016,129061615,75013,Paris
2009,120564786,75002,Paris
13043,224598098,75013,Paris
8051,82381710,75008,Paris
14122,10968855,75014,Paris
44102,82508970,94410,Saint-Maurice
9115,653055097,75009,Paris
16123,221038698,75016,Paris
19039,27246227,75019,Paris
16032,63297,75016,Paris
21003,95927849,92100,Boulogne-Billancourt
22001,102341385,92200,Neuilly-sur-Seine
18025,54000605,75018,Paris
17122,979059925,75017,Paris
20027,6512,75020,Paris
9023,27363323,75009,Paris
31007,129145892,93100,Montreuil
15108,102289046,75015,Paris
19040,124402232,75020,Paris
26001,985086307,92600,Asnières-sur-Seine
17047,27415327,75017,Paris
6016,100798076,75006,Paris
41204,1063404053,94120,Fontenay-sous-Bois
17046,54000598,75017,Paris
17121,989753852,75017,Paris
47006,990000217,94700,Maisons-Alfort
10020,121025345,75010,Paris
18113,213692714,75018,Paris
19009,82577019,75019,Paris
18109,39256416,75018,Paris
19038,255207155,75019,Paris
18029,63769334,75018,Paris
21703,129136818,92170,Vanves
35017,653080986,93500,Pantin
20118,27415469,75020,Paris
16021,39599631,75016,Paris
9031,84979504,75009,Paris
9117,653059015,75009,Paris
20023,85120104,75020,Paris
6030,37936869,75006,Paris
15035,101748685,75015,Paris
18049,54000608,75018,Paris
11041,66491394,75011,Paris
31703,102743096,93170,Bagnolet
35003,126175087,93500,Pantin
15031,101746493,75015,Paris
21014,27363137,92100,Boulogne-Billancourt
35014,339797666,93500,Pantin
11006,82404497,75011,Paris
47005,1968156458,94700,Maisons-Alfort
19127,991351798,75019,Paris
16015,7304,75016,Paris
15070,54000592,75015,Paris
1120,1002738770,75001,Paris
14112,15409531,75014,Paris
47004,29327,94700,Maisons-Alfort
9026,36298,75009,Paris
21001,37903195,92100,Boulogne-Billancourt
18033,102313219,75018,Paris
11010,100906707,75011,Paris
16122,624177860,75016,Paris
15002,27369223,75015,Paris
21310,102336814,92130,Issy-les-Moulineaux
23007,484423835,92300,Levallois-Perret
20016,54000618,75020,Paris
32015,653059879,93200,Saint-Denis
10010,210583589,75010,Paris
5121,653050378,75005,Paris
16043,15291968,75016,Paris
20116,66491407,75020,Paris
16027,15387809,75016,Paris
11043,100918666,75011,Paris
18017,129101773,75018,Paris
32004,213987795,93210,Saint-Denis
16029,15397468,75016,Paris
8019,84966359,75008,Paris
9017,42908639,75009,Paris
18008,125469898,,
7008,54000549,75007,Paris
16112,52329,75016,Paris
42703,85162552,94270,Le Kremlin-Bicêtre
14030,54000586,75014,Paris
20201,2515738489,75020,Paris
13046,256561528,75013,Paris
22102,452920451,92210,Saint-Cloud
12004,37920,75012,Paris
15003,54000588,75015,Paris
4110,1020700136,75004,Paris
6032,100855693,75006,Paris
17022,102304517,75017,Paris
7020,128889359,75007,Paris
19041,256124192,75020,Paris
10036,210737808,75010,Paris
23304,17526921983,92330,Sceaux
6017,54000546,75006,Paris
8001,42499285,75008,Paris
13103,35137730,75013,Paris
15107,259977414,75015,Paris
1117,1002059045,75001,Paris
12161,912377361,75012,Paris
21114,653127524,92110,Clichy
20137,2515686699,75020,Paris
23903,17527110170,92390,Villeneuve-la-Garenne
23403,17527065847,92340,Bourg-la-Reine
31704,82568336,93170,Bagnolet
19023,54000611,75019,Paris
32603,66491408,93260,Les Lilas
7013,100872260,75007,Paris
2013,36151,75002,Paris
21311,213848056,92130,Issy-les-Moulineaux
12041,452936197,94160,Saint-Mandé
15059,54000545,75015,Paris
8038,66505511,75008,Paris
7016,66491386,75007,Paris
18138,1023083417,75018,Paris
4013,54000541,75004,Paris
14006,101490103,75014,Paris
4011,54000539,75004,Paris
45001,1025995767,94500,Champigny-sur-Marne
31023,1034242363,93100,Montreuil
7101,544249939,75007,Paris
13041,82432573,75013,Paris
9118,1021553839,75010,Paris
21024,1021176825,92100,Boulogne-Billancourt
10163,653065577,75010,Paris
2001,335780498,75002,Paris
17201,18175885970,75017,Paris
20019,484387018,75020,Paris
18137,1035816937,75018,Paris
17116,66507229,75017,Paris
12108,27415012,75012,Paris
8056,224256188,75008,Paris
31013,263610599,93100,Montreuil
18001,49772483,75018,Paris
32018,653066427,93200,Saint-Denis
17016,129089749,75017,Paris
20202,82587428,75020,Paris
18019,27415297,75018,Paris
5019,100770878,75005,Paris
11003,13283986,75011,Paris
11034,100910836,75011,Paris
1016,27363256,75001,Paris
9012,6515,75009,Paris
15020,41523981,75015,Paris
41206,1034247348,94120,Fontenay-sous-Bois
13113,39536951,75013,Paris
19031,35089539,75019,Paris
13114,27415169,75013,Paris
15061,15412563,75015,Paris
20017,30179848,75020,Paris
11019,27363029,75011,Paris
23008,484889494,92300,Levallois-Perret
7026,27415285,75007,Paris
8015,100902274,75008,Paris
15063,54000607,75015,Paris
21108,78348185,92110,Clichy
6014,36003,75006,Paris
14116,27415215,92120,Montrouge
31018,263732151,93100,Montreuil
47002,1036199130,94700,Maisons-Alfort
33005,129161858,93300,Aubervilliers
2110,653035822,75002,Paris
1022,27414460,75002,Paris
14007,75313725,75014,Paris
10164,653069115,75010,Paris
11107,82419429,75011,Paris
9113,349750111,75009,Paris
20103,52453,75020,Paris
2014,210389577,75002,Paris
16041,15401095,75016,Paris
4109,1055553396,75004,Paris
3101,210394523,75003,Paris
23302,1036226943,92330,Sceaux
8105,66505513,75008,Paris
6031,66491371,75006,Paris
11048,1056959071,75011,Paris
2101,486833337,75002,Paris
21952,1055541632,92190,Meudon
8049,60667075,75008,Paris
12154,606669250,75012,Paris
5030,66491368,75005,Paris
8029,15383032,75008,Paris
9015,54000561,75009,Paris
22017,17638171254,92200,Neuilly-sur-Seine
19021,54001190,75019,Paris
17104,82569809,75017,Paris
19030,266052390,75019,Paris
21004,37952191,92100,Boulogne-Billancourt
22002,34300292,92200,Neuilly-sur-Seine
35008,82554786,93500,Pantin
13022,268976295,75013,Paris
20045,27415444,75020,Paris
13019,76488849,75013,Paris
11044,460558111,75011,Paris
11110,84983562,75011,Paris
16031,129081441,75016,Paris
12153,1056986761,75012,Paris
5028,41610121,75005,Paris
17005,82566934,75017,Paris
21017,82590367,92100,Boulogne-Billancourt
14127,43219958,75014,Paris
14016,35106544,75014,Paris
12033,267976590,75012,Paris
12120,1056965116,75012,Paris
22012,54000630,92200,Neuilly-sur-Seine
18142,1599921040,75018,Paris
18014,129096696,75018,Paris
18035,82573931,75018,Paris
13110,82436057,75013,Paris
23105,11851037297,92310,Sèvres
42011,269953055,94200,Ivry-sur-Seine
15009,82448637,75015,Paris
23005,271540743,92300,Levallois-Perret
21120,11851327865,92110,Clichy
20117,13372702,75020,Paris
48009,1599931563,94800,Villejuif
14125,15411223,75014,Paris
21009,85152599,92100,Boulogne-Billancourt
4107,284711589,75004,Paris
20047,66491406,75020,Paris
9013,30550,75009,Paris
31017,478593396,93100,Montreuil
13047,213675430,75013,Paris
18114,213693126,75018,Paris
44103,363735875,94410,Saint-Maurice
22403,265266148,92240,Malakoff
21951,357491025,92360,Meudon
92005,457713145,92000,Nanterre
22103,392576677,92210,Saint-Cloud
19113,52456,75019,Paris
14128,1056995858,75014,Paris
10039,27414924,75010,Paris
13117,390075668,75013,Paris
12125,1056972307,75012,Paris
31101,653217067,93110,Rosny-sous-Bois
31026,1109534105,93100,Montreuil
17001,365181481,75017,Paris
12129,653076373,75012,Paris
9016,15310509,75009,Paris
35004,275968458,93500,Pantin
31707,213936755,75020,Paris
13515,1062812659,75013,Paris
12150,1056979685,75012,Paris
8011,128928526,75008,Paris
13020,287096529,75013,Paris
19124,13242682,75019,Paris
35011,278576043,93500,Pantin
19036,213695073,75019,Paris
14113,284708999,75014,Paris
10152,653062048,75010,Paris
35015,653079520,93500,Pantin
32021,653076393,93200,Saint-Denis
15019,129069108,75015,Paris
1020,128841079,75001,Paris
7024,54000550,75007,Paris
20004,124390478,94160,Saint-Mandé
11031,97705710,75011,Paris
16007,54000593,75016,Paris
10110,27362949,75010,Paris
15131,1057003116,75015,Paris
10037,285726279,75010,Paris
20002,285454061,75020,Paris
9036,7261,75009,Paris
12006,291354793,75012,Paris
15125,213685863,75015,Paris
13027,653079135,75013,Paris
17029,38319086,75017,Paris
10004,221032834,75010,Paris
21118,653129435,92110,Clichy
11103,124622630,75011,Paris
20039,129121741,75020,Paris
8008,96512532,75008,Paris
21203,362178041,92120,Montrouge
5034,100783424,75005,Paris
10017,210584503,75010,Paris
22013,422639331,92200,Neuilly-sur-Seine
21115,1057061349,92110,Clichy
19025,292871105,75019,Paris
16009,38280,75016,Paris
21029,653125838,92100,Boulogne-Billancourt
10153,594942659,75010,Paris
15072,404947652,75015,Paris
16003,457834134,75016,Paris
16014,213686471,75016,Paris
21316,1057081237,92130,Issy-les-Moulineaux
21708,129142199,92170,Vanves
14101,42541542,75014,Paris
13048,27363558,75013,Paris
41210,214109662,94120,Fontenay-sous-Bois
42304,653122771,94230,Cachan
11109,35147530,75011,Paris
21307,129135654,92130,Issy-les-Moulineaux
15052,101756482,75015,Paris
31021,1057179405,93100,Montreuil
44002,653135400,94400,Vitry-sur-Seine
16115,213689228,75016,Paris
15123,129079313,75015,Paris
13039,409364001,75013,Paris
